Order_ID,Customer_ID,Customer_Name,Customer_Age,Gender,City,State,Pin_Code,Product_ID,Product_Name,Category,Brand,Price,Quantity,Total_Amount,Payment_Method,Order_Status,Order_Date,Delivery_Date,Review_Rating
AMZ-67933,CUST-4349,Urvi Sachdeva,40,M,Delhi,Karnataka,661775,PID-9648,Jeans,Fashion,Mand Ltd,2529.67,2,5059.34,Credit Card,Delivered,2023-10-27,2023-11-03,3.0
AMZ-48460,CUST-8404,Falguni Mander,63,F,Raurkela Industrial Township,Andhra Pradesh,931852,PID-7146,Notebook,Books & Stationery,"Kadakia, Srivastava and Bala",140.34,4,561.36,UPI,Processing,2024-10-13,2024-10-14,
AMZ-51889,CUST-1708,Vamakshi Sagar,40,M,Gandhinagar,Maharashtra,741737,PID-9552,Refrigerator,Home Appliances,"Bera, Kar and Sarna",42389.87,3,127169.61,Cash on Delivery,Delivered,2023-11-21,2023-11-27,1.0
AMZ-98085,CUST-8454,Gayathri Manne,26,M,Agartala,West Bengal,478298,PID-7243,Diary,Books & Stationery,Memon-Manda,162.36,1,162.36,Paytm,Delivered,2024-06-12,2024-06-19,5.0
AMZ-28797,CUST-4218,Indali Tella,59,F,Adoni,Andhra Pradesh,822766,PID-4314,Saree,Fashion,Sahota-Taneja,1384.51,1,1384.51,Cash on Delivery,Delivered,2023-02-04,2023-02-10,2.0
AMZ-74546,CUST-4502,Chatresh Bajaj,45,F,Sonipat,Nagaland,556617,PID-7342,Exam Guide,Books & Stationery,Sarkar Group,1009.24,3,3027.72,Debit Card,Delivered,2023-03-22,,
AMZ-18396,CUST-5968,Mason Doctor,24,M,Secunderabad,Mizoram,765877,PID-1572,Sneakers,Fashion,Kade Ltd,5905.59,5,29527.95,Credit Card,Delivered,2023-05-01,2023-05-05,1.0
AMZ-67356,CUST-4600,Watika Bhakta,40,F,Rohtak,Assam,705383,PID-7776,Shampoo,Beauty & Personal Care,"Bawa, Agrawal and Parmer",711.34,2,1422.68,UPI,Delivered,2023-11-25,2023-11-26,
AMZ-27587,CUST-8463,Chameli Chandran,61,M,Phusro,Manipur,354163,PID-3466,Saree,Fashion,"Bhatia, Ghose and Aggarwal",4530.37,4,18121.48,Paytm,Cancelled,2024-02-21,2024-02-28,
AMZ-88284,CUST-4982,Ekavir Sankar,41,F,Karimnagar,Punjab,503601,PID-5786,Fan,Home Appliances,Das-Rana,6142.64,3,18427.92,UPI,Delivered,2024-09-27,2024-09-30,3.0
AMZ-57487,CUST-4297,Tripti Ghosh,62,M,Belgaum,Sikkim,659271,PID-9849,Shampoo,Beauty & Personal Care,"Vora, Dua and Gupta",135.58,3,406.74,Credit Card,Shipped,2024-09-02,2024-09-09,
AMZ-69306,CUST-3308,Faqid Oommen,27,F,Navi Mumbai,Assam,878428,PID-6648,Lipstick,Beauty & Personal Care,"Virk, Mander and Khosla",301.46,5,1507.3,Cash on Delivery,Delivered,2024-05-15,2024-05-17,4.0
AMZ-85711,CUST-6630,Mohammed Mukhopadhyay,28,M,Kollam,Gujarat,310694,PID-9808,Exam Guide,Books & Stationery,"Din, Hegde and Goswami",339.91,2,679.82,Credit Card,Shipped,2023-07-02,2023-07-04,
AMZ-49684,CUST-7374,Bishakha Bedi,44,M,Kolkata,Arunachal Pradesh,386460,PID-8970,Smartphone,Electronics,Cheema-Jain,11990.3,2,23980.6,UPI,Delivered,2023-06-17,2023-06-23,
AMZ-33050,CUST-1063,Yashasvi Jani,46,F,Anand,Uttarakhand,792715,PID-8445,Shampoo,Beauty & Personal Care,Atwal-Raghavan,522.33,1,522.33,Cash on Delivery,Processing,2023-09-13,2023-09-14,
AMZ-23773,CUST-3799,Yochana Mani,21,F,New Delhi,Tamil Nadu,397123,PID-2425,Smartphone,Electronics,Rege-Barad,19676.59,4,78706.36,Cash on Delivery,Delivered,2023-08-13,2023-08-20,2.0
AMZ-95314,CUST-6546,Jagrati Buch,30,M,Singrauli,Madhya Pradesh,320584,PID-7996,T-Shirt,Fashion,"Balan, Pradhan and Mander",458.38,3,1375.14,UPI,Delivered,2023-12-11,2023-12-15,1.0
AMZ-88801,CUST-2427,Shivani Chakrabarti,29,F,Dindigul,Chhattisgarh,510600,PID-5275,Refrigerator,Home Appliances,"Chaudhary, Dubey and Chakraborty",34969.51,2,69939.02,Net Banking,Delivered,2023-03-26,2023-03-31,3.0
AMZ-70691,CUST-9229,Advik Arya,63,F,Shimla,Tamil Nadu,998994,PID-2719,Vegetables,Groceries,"Kar, Aggarwal and Konda",488.31,5,2441.55,Net Banking,Delivered,2023-11-15,,3.0
AMZ-62555,CUST-1363,Joshua Yadav,35,M,Raebareli,Bihar,308979,PID-9596,Refrigerator,Home Appliances,Nagy-Tata,33027.31,5,165136.55,Credit Card,Returned,2024-09-03,2024-09-07,
AMZ-80518,CUST-4891,Logan Bhakta,31,M,Parbhani,Gujarat,573439,PID-6393,Diary,Books & Stationery,"Prabhakar, Mohanty and Dutt",320.07,3,960.21,Cash on Delivery,Delivered,2023-07-19,,5.0
AMZ-52059,CUST-5725,Zaitra Nayak,30,F,Parbhani,Tamil Nadu,368489,PID-1845,Rice,Groceries,Balan-Shetty,1370.4,1,1370.4,Paytm,Cancelled,2023-05-14,2023-05-16,
AMZ-92385,CUST-7187,Sai Dutt,19,M,Berhampore,Tripura,296894,PID-5814,Moisturizer,Beauty & Personal Care,"Lata, Agate and Subramanian",796.37,5,3981.85,Cash on Delivery,Shipped,2023-12-07,2023-12-12,
AMZ-19696,CUST-9202,Suhani Bhatia,19,M,Mango,Goa,982918,PID-1049,Fan,Home Appliances,Sachdeva LLC,3638.99,5,18194.95,Paytm,Delivered,2023-12-31,2024-01-06,3.0
AMZ-70508,CUST-6858,Urishilla Bhatt,40,F,Ongole,Assam,611059,PID-5621,Headphones,Electronics,Rana-Madan,3678.08,5,18390.4,Net Banking,Shipped,2023-12-28,,
AMZ-31349,CUST-2277,Christopher Nadig,42,F,Gopalpur,Tripura,088911,PID-9562,Milk,Groceries,Murthy and Sons,112.13,4,448.52,UPI,Delivered,2024-12-21,2024-12-26,5.0
AMZ-57515,CUST-5554,Vaishnavi Chhabra,44,F,Mau,Meghalaya,967251,PID-1006,Refrigerator,Home Appliances,"Pandit, Reddy and Panchal",32702.83,3,98108.49,Cash on Delivery,Delivered,2023-01-11,2023-01-14,1.0
AMZ-15878,CUST-1852,Eta Sehgal,63,F,Aligarh,Sikkim,040881,PID-2853,Moisturizer,Beauty & Personal Care,"Boase, Parmer and Rege",547.76,3,1643.28,Paytm,Delivered,2024-10-15,2024-10-16,4.0
AMZ-19898,CUST-9515,Janani Ratti,48,M,Tadepalligudem,Mizoram,509676,PID-7590,Smartwatch,Electronics,Dhillon-Dutt,20337.21,1,20337.21,Net Banking,Delivered,2023-06-10,,5.0
AMZ-98954,CUST-2357,Aarna Din,24,F,Muzaffarnagar,Nagaland,961323,PID-6511,Bluetooth Speaker,Electronics,Roy Ltd,5075.91,1,5075.91,Net Banking,Returned,2024-12-10,,
AMZ-65512,CUST-4609,Naksh Mistry,35,F,Hazaribagh,Karnataka,022153,PID-4626,Headphones,Electronics,Date-Mall,6349.38,5,31746.9,Paytm,Delivered,2023-07-22,2023-07-27,
AMZ-76260,CUST-7634,Bimala Apte,29,M,Khora ,Karnataka,203245,PID-8533,Perfume,Beauty & Personal Care,Bansal-Lal,2129.43,3,6388.29,Cash on Delivery,Processing,2023-08-02,2023-08-07,
AMZ-92990,CUST-3629,Panini Buch,27,M,Malda,Chhattisgarh,257589,PID-5130,Laptop,Electronics,Mitter-Vig,106384.37,4,425537.48,Credit Card,Delivered,2024-07-15,2024-07-21,3.0
AMZ-70056,CUST-1247,Frederick De,19,F,Gudivada,Madhya Pradesh,807054,PID-4888,Jeans,Fashion,Krishnamurthy-Iyengar,1636.38,3,4909.14,Credit Card,Delivered,2024-09-12,2024-09-14,4.0
AMZ-59112,CUST-1852,Isha Suri,24,F,Kolkata,Uttarakhand,495366,PID-4086,Lipstick,Beauty & Personal Care,Bedi LLC,317.37,2,634.74,Credit Card,Cancelled,2023-10-13,2023-10-16,
AMZ-37118,CUST-9869,Nitesh Guha,61,F,Jalgaon,Uttarakhand,922183,PID-8926,Laptop,Electronics,"Dara, Ganguly and Pradhan",105680.85,1,105680.85,Credit Card,Processing,2024-09-12,,
AMZ-86040,CUST-7213,Rachita Barad,24,F,Davanagere,Madhya Pradesh,715657,PID-7621,Diary,Books & Stationery,Gandhi-Shetty,495.54,4,1982.16,Cash on Delivery,Delivered,2023-09-08,,
AMZ-99626,CUST-4925,Dhruv Venkatesh,41,M,Rourkela,Jharkhand,652124,PID-7967,Fan,Home Appliances,"Nanda, Bhasin and Hayre",4966.55,2,9933.1,Paytm,Returned,2023-12-25,2023-12-27,
AMZ-99320,CUST-1399,Girish Srinivas,50,M,Thiruvananthapuram,Himachal Pradesh,283014,PID-5845,Fruits,Groceries,Johal-Nagy,282.72,5,1413.6,UPI,Delivered,2023-05-17,2023-05-21,
AMZ-42087,CUST-4056,Tripti Rama,29,F,Ludhiana,Himachal Pradesh,868879,PID-7165,Fan,Home Appliances,Mani Inc,7397.83,5,36989.15,Cash on Delivery,Returned,2024-03-15,2024-03-20,
AMZ-32721,CUST-2155,Pavani Ramaswamy,57,M,Karawal Nagar,Bihar,915960,PID-8663,Diary,Books & Stationery,"Rajagopal, Radhakrishnan and Dasgupta",115.45,3,346.35,Debit Card,Delivered,2024-09-26,2024-10-03,1.0
AMZ-40100,CUST-5824,Warhi Mani,41,F,Mango,Kerala,536482,PID-4183,Microwave,Home Appliances,Rattan Inc,17647.07,2,35294.14,Paytm,Delivered,2023-04-12,2023-04-15,1.0
AMZ-86820,CUST-6746,Brinda Suri,30,M,Amaravati,Punjab,963992,PID-4997,Fan,Home Appliances,"Sama, Amble and Raman",4823.55,3,14470.65,Credit Card,Delivered,2023-01-22,2023-01-29,
AMZ-63530,CUST-8913,Ishaan Datta,62,M,Kalyan-Dombivli,Gujarat,220194,PID-8459,Vegetables,Groceries,Deep Group,288.56,1,288.56,Credit Card,Delivered,2023-12-15,2023-12-19,1.0
AMZ-99952,CUST-2257,Warinder Lal,33,M,Salem,Haryana,998197,PID-8305,Rice,Groceries,Hegde Group,1016.39,2,2032.78,Cash on Delivery,Returned,2024-01-23,2024-01-28,
AMZ-96096,CUST-9404,Gavin Nagarajan,53,M,Hindupur,Tamil Nadu,392782,PID-2177,Perfume,Beauty & Personal Care,"Majumdar, Ganguly and Rajagopalan",548.98,3,1646.94,UPI,Delivered,2023-05-08,2023-05-14,4.0
AMZ-40500,CUST-8161,Warinder Gill,25,F,Bhilai,Uttar Pradesh,962309,PID-4878,Jeans,Fashion,"Mander, Dara and Mallick",3923.24,1,3923.24,Paytm,Delivered,2023-12-22,2023-12-27,3.0
AMZ-99978,CUST-8300,Yashica Patel,42,M,Morena,Goa,095562,PID-6956,Notebook,Books & Stationery,Chakrabarti-Kalita,42.05,5,210.25,Paytm,Delivered,2023-10-10,,5.0
AMZ-32994,CUST-2701,Rachit Chahal,59,F,Gorakhpur,Odisha,723913,PID-1279,Vegetables,Groceries,"Chaudry, Char and Shroff",425.74,5,2128.7,Debit Card,Delivered,2023-09-04,,2.0
AMZ-34484,CUST-8118,Nakul Pillay,61,M,Anand,Tamil Nadu,809012,PID-7697,Smartphone,Electronics,Yadav Group,21832.85,1,21832.85,Paytm,Delivered,2023-08-03,2023-08-07,3.0
AMZ-55182,CUST-7134,Harshil Dara,27,M,Madurai,Manipur,127934,PID-8187,Milk,Groceries,Sabharwal-Soni,77.17,2,154.34,UPI,Shipped,2023-09-27,2023-10-01,
AMZ-44354,CUST-7495,Manan Dyal,29,M,Jaipur,Nagaland,637839,PID-9062,Washing Machine,Home Appliances,"Din, Madan and Khare",45050.3,4,180201.2,Debit Card,Delivered,2024-11-08,,3.0
AMZ-18714,CUST-6105,Quincy Walia,46,F,Kadapa,Gujarat,823765,PID-4521,Fruits,Groceries,"Rajagopalan, Goel and Borra",333.11,2,666.22,Paytm,Delivered,2023-11-25,2023-11-29,1.0
AMZ-18474,CUST-9886,Noah Verma,56,M,Mehsana,Chhattisgarh,355975,PID-1683,Sneakers,Fashion,Desai-Pradhan,5434.54,2,10869.08,Net Banking,Delivered,2023-03-01,,
AMZ-49467,CUST-4332,Victor Chada,53,M,Muzaffarpur,Nagaland,679342,PID-6816,Geyser,Home Appliances,"Lad, Roy and Bir",9848.66,4,39394.64,UPI,Delivered,2024-07-07,2024-07-09,2.0
AMZ-92616,CUST-5541,Naksh Hora,49,F,Malegaon,Rajasthan,259466,PID-4356,Vegetables,Groceries,Mukhopadhyay Inc,283.74,4,1134.96,Cash on Delivery,Returned,2024-05-12,,
AMZ-77782,CUST-7131,Suhani Kamdar,28,F,Aizawl,Manipur,542990,PID-2664,Smartwatch,Electronics,Mann Inc,13135.55,2,26271.1,Paytm,Delivered,2024-05-12,,
AMZ-23341,CUST-9207,Yamini Patel,65,M,Panihati,Karnataka,395146,PID-5943,Moisturizer,Beauty & Personal Care,Raja Ltd,492.48,1,492.48,Debit Card,Delivered,2023-01-03,2023-01-10,5.0
AMZ-54280,CUST-1518,Gunbir Talwar,65,M,Bhusawal,Haryana,884508,PID-8188,Laptop,Electronics,Chad-Khalsa,38791.35,3,116374.05,Paytm,Delivered,2024-11-13,2024-11-19,2.0
AMZ-72094,CUST-9988,Hitesh Hari,50,M,Ujjain,Nagaland,725067,PID-2703,Perfume,Beauty & Personal Care,Sahni-Ben,6097.52,4,24390.08,Debit Card,Delivered,2023-10-22,,4.0
AMZ-11201,CUST-1087,Tanveer Dhingra,25,F,Gudivada,Bihar,052101,PID-9729,Smartphone,Electronics,Pal and Sons,87494.7,2,174989.4,Net Banking,Delivered,2024-10-21,2024-10-22,1.0
AMZ-66341,CUST-9179,Jeet Golla,31,M,Guntakal,Sikkim,420958,PID-4737,Notebook,Books & Stationery,Dugar and Sons,123.89,4,495.56,UPI,Delivered,2024-07-22,2024-07-26,2.0
AMZ-56571,CUST-6566,Pahal Palan,28,F,Jaunpur,Nagaland,900488,PID-6862,Notebook,Books & Stationery,"Sani, Ramesh and Pandya",100.31,2,200.62,Credit Card,Returned,2024-10-27,2024-11-01,
AMZ-22475,CUST-5590,Gopal Suresh,33,M,Tiruchirappalli,Andhra Pradesh,709774,PID-4749,Kurtis,Fashion,Krishnamurthy PLC,3755.82,1,3755.82,UPI,Delivered,2023-01-01,2023-01-03,
AMZ-32146,CUST-4360,Advika Ben,46,F,Chennai,Punjab,853805,PID-4154,Moisturizer,Beauty & Personal Care,"Kala, Saraf and Vyas",455.99,4,1823.96,Cash on Delivery,Delivered,2023-02-18,2023-02-20,2.0
AMZ-76642,CUST-8725,Chaman Garde,45,F,Gaya,Uttar Pradesh,632801,PID-7454,Diary,Books & Stationery,Rattan-Ganguly,402.08,5,2010.4,Debit Card,Delivered,2024-11-16,,
AMZ-17789,CUST-6140,Anusha Swamy,60,F,Bhubaneswar,Meghalaya,832460,PID-4211,Perfume,Beauty & Personal Care,"Sur, Chaudhary and Varghese",2935.04,5,14675.2,Cash on Delivery,Cancelled,2023-07-29,2023-08-02,
AMZ-40449,CUST-6256,Kabir Tara,46,F,Tezpur,Uttarakhand,222654,PID-6082,Atta,Groceries,"Wali, Dhawan and Sarna",439.72,3,1319.16,UPI,Processing,2023-10-13,2023-10-14,
AMZ-65339,CUST-4971,Vritti Chaudhary,30,M,Dibrugarh,Jharkhand,671761,PID-6138,Exam Guide,Books & Stationery,"Varughese, Kuruvilla and Ramakrishnan",222.61,1,222.61,Credit Card,Delivered,2024-08-02,2024-08-05,
AMZ-43500,CUST-2067,Aditya Zachariah,20,F,Sri Ganganagar,Mizoram,432023,PID-3276,Jeans,Fashion,Shah PLC,2001.91,5,10009.55,Debit Card,Shipped,2023-08-09,2023-08-15,
AMZ-73517,CUST-8649,Vrishti Balakrishnan,21,F,Sirsa,Odisha,131038,PID-3204,Sneakers,Fashion,Kaur-Saha,5875.16,1,5875.16,Cash on Delivery,Processing,2023-07-21,,
AMZ-81408,CUST-5412,Siddharth Kannan,20,F,Jhansi,Telangana,458375,PID-3607,Exam Guide,Books & Stationery,Sagar-Aggarwal,661.23,3,1983.69,Cash on Delivery,Delivered,2024-04-12,,4.0
AMZ-48495,CUST-7279,Nidra Konda,43,F,Bhagalpur,Bihar,582506,PID-6447,Washing Machine,Home Appliances,Dhawan PLC,26880.87,1,26880.87,Debit Card,Delivered,2023-05-15,2023-05-22,2.0
AMZ-75349,CUST-7211,Nilima Basak,22,F,Bokaro,Goa,659067,PID-3563,Bluetooth Speaker,Electronics,Barad LLC,6180.28,2,12360.56,Net Banking,Delivered,2024-09-22,,3.0
AMZ-18553,CUST-6269,Ayushman Vaidya,29,M,Bongaigaon,Arunachal Pradesh,218222,PID-1252,Fan,Home Appliances,Deo-Natarajan,4598.66,1,4598.66,Net Banking,Cancelled,2024-07-27,2024-08-01,
AMZ-36273,CUST-3298,Yashica Nayar,55,M,Bhubaneswar,Punjab,747705,PID-1127,Lipstick,Beauty & Personal Care,"Walla, Yadav and Yogi",497.32,4,1989.28,Cash on Delivery,Delivered,2024-12-15,2024-12-19,
AMZ-83915,CUST-5924,Jeet Balay,30,F,Ambarnath,Madhya Pradesh,823681,PID-7708,Smartphone,Electronics,Solanki-Reddy,13818.0,1,13818.0,Cash on Delivery,Delivered,2024-11-11,2024-11-13,3.0
AMZ-48053,CUST-7667,Anita Mangal,49,M,Panchkula,Goa,603189,PID-5410,Fiction Novel,Books & Stationery,"Garg, Patel and Nayar",583.39,1,583.39,Cash on Delivery,Returned,2024-03-14,2024-03-16,
AMZ-42027,CUST-3377,Aahana Chad,41,F,Shimoga,Mizoram,244778,PID-9983,Refrigerator,Home Appliances,Bhatt-Swamy,58771.91,1,58771.91,Cash on Delivery,Delivered,2023-04-03,2023-04-10,1.0
AMZ-86703,CUST-3235,Ishani Kumer,20,M,Guntakal,Punjab,270860,PID-9356,Microwave,Home Appliances,"Deshmukh, Bava and Pant",16770.06,3,50310.18,Paytm,Shipped,2024-03-12,2024-03-16,
AMZ-80387,CUST-6364,Fariq Amble,36,M,Sikar,West Bengal,239018,PID-8212,Fruits,Groceries,Singhal-Prashad,91.25,2,182.5,UPI,Delivered,2024-05-30,,5.0
AMZ-50686,CUST-1447,Yoshita Arora,32,F,Udupi,Madhya Pradesh,992337,PID-9587,Diary,Books & Stationery,Butala-Mishra,355.22,3,1065.66,Net Banking,Delivered,2024-11-28,2024-12-03,3.0
AMZ-31480,CUST-5603,Anusha Bal,54,M,Kolkata,Mizoram,726291,PID-1589,Exam Guide,Books & Stationery,Modi Group,1145.93,3,3437.79,Cash on Delivery,Returned,2024-07-13,2024-07-18,
AMZ-11322,CUST-8533,Saanvi Pai,22,F,Kolhapur,Himachal Pradesh,460928,PID-5804,T-Shirt,Fashion,Bhat PLC,898.18,1,898.18,Paytm,Delivered,2023-09-10,,1.0
AMZ-26558,CUST-8361,Lopa Gara,50,M,Bokaro,Madhya Pradesh,974771,PID-4099,Milk,Groceries,Roy and Sons,63.71,5,318.55,Debit Card,Returned,2024-04-10,,
AMZ-86392,CUST-1424,Lajita Sagar,57,M,Kanpur,Goa,721648,PID-9304,Kurtis,Fashion,"Kala, Gupta and Menon",3626.68,5,18133.4,Paytm,Shipped,2023-12-27,2023-12-31,
AMZ-27208,CUST-2771,Dhruv Ghosh,34,F,Deoghar,West Bengal,651136,PID-8642,Microwave,Home Appliances,Batta Ltd,17090.75,4,68363.0,Net Banking,Returned,2023-01-22,2023-01-28,
AMZ-79713,CUST-2189,Indrajit Ghosh,38,F,Bettiah,Tamil Nadu,585248,PID-5389,Smartwatch,Electronics,Raja-Parikh,21515.99,1,21515.99,UPI,Delivered,2024-01-15,2024-01-22,3.0
AMZ-85408,CUST-2577,Bina Mahajan,60,M,Junagadh,Madhya Pradesh,273505,PID-3300,Perfume,Beauty & Personal Care,Ganguly-Bose,7340.76,2,14681.52,Net Banking,Processing,2024-06-17,2024-06-23,
AMZ-50109,CUST-9291,Vasana Balasubramanian,44,M,Korba,Himachal Pradesh,750114,PID-1493,Fruits,Groceries,Sood-Gopal,77.15,3,231.45,Paytm,Delivered,2024-03-12,2024-03-18,3.0
AMZ-26342,CUST-5957,Owen Rai,31,M,Vellore,Rajasthan,161754,PID-7135,Laptop,Electronics,Sibal Group,84212.85,2,168425.7,Cash on Delivery,Shipped,2023-02-07,2023-02-09,
AMZ-69995,CUST-2917,Omaja Gupta,54,F,Allahabad,Sikkim,253480,PID-2487,Geyser,Home Appliances,"Naidu, Apte and D’Alia",11819.82,1,11819.82,Debit Card,Delivered,2023-06-28,2023-07-03,4.0
AMZ-43268,CUST-3483,Unni Majumdar,49,M,Durg,Himachal Pradesh,922995,PID-7303,Laptop,Electronics,Muni-Sangha,117002.4,2,234004.8,Net Banking,Delivered,2023-06-18,2023-06-21,3.0
AMZ-71201,CUST-6513,Ekaraj Shenoy,29,F,Bulandshahr,Punjab,954030,PID-4240,Laptop,Electronics,Wagle-Dora,92346.29,4,369385.16,Paytm,Processing,2023-08-28,2023-09-04,
AMZ-76698,CUST-1467,Vanya Lala,55,M,Hospet,Goa,338029,PID-4009,Milk,Groceries,Arora and Sons,63.48,1,63.48,Credit Card,Delivered,2023-08-20,2023-08-22,3.0
AMZ-12668,CUST-5642,Shravya Gera,34,F,Coimbatore,Uttarakhand,348888,PID-4217,Smartphone,Electronics,"Morar, Buch and Iyer",32808.64,3,98425.92,UPI,Delivered,2024-02-12,2024-02-15,5.0
AMZ-72624,CUST-7880,Tristan Bhargava,24,F,Raipur,Nagaland,915661,PID-7774,Perfume,Beauty & Personal Care,"Yadav, Misra and Dhaliwal",6167.74,4,24670.96,Paytm,Cancelled,2024-11-07,2024-11-14,
AMZ-22129,CUST-6330,Owen Barad,60,M,Kamarhati,Gujarat,397208,PID-2605,Lipstick,Beauty & Personal Care,"Dash, Khare and Badami",1191.1,1,1191.1,Paytm,Delivered,2023-01-19,2023-01-22,5.0
AMZ-28994,CUST-3552,Sai Zacharia,51,M,Ranchi,Arunachal Pradesh,540441,PID-4248,Perfume,Beauty & Personal Care,Ganesan-Bansal,4338.93,2,8677.86,Debit Card,Delivered,2024-07-26,2024-07-27,2.0
AMZ-38088,CUST-6762,Darpan Deshmukh,50,M,Maheshtala,Jharkhand,649213,PID-1066,Sneakers,Fashion,"Cheema, Kamdar and Venkatesh",5042.27,1,5042.27,UPI,Shipped,2024-07-17,2024-07-19,
AMZ-18482,CUST-1266,Dominic Ramaswamy,36,M,Kollam,Haryana,612531,PID-5708,Shampoo,Beauty & Personal Care,Bala Group,87.95,2,175.9,Paytm,Delivered,2023-10-23,2023-10-27,3.0
AMZ-15056,CUST-9484,Hredhaan Natarajan,25,F,Raiganj,Karnataka,256798,PID-6234,Smartphone,Electronics,Naidu Ltd,76231.48,3,228694.44,UPI,Shipped,2024-02-10,,
AMZ-32827,CUST-8281,Kashvi Shere,23,F,Tadepalligudem,Telangana,513360,PID-7290,Kurtis,Fashion,"Dhar, Korpal and Handa",1175.99,3,3527.97,Net Banking,Shipped,2024-01-06,2024-01-11,
AMZ-25360,CUST-8738,Yutika Mukhopadhyay,54,F,Bongaigaon,Tamil Nadu,428589,PID-8743,Atta,Groceries,Wadhwa-Chhabra,1076.37,4,4305.48,Net Banking,Delivered,2023-11-07,2023-11-12,
AMZ-40898,CUST-1964,Aarini Suresh,18,F,Parbhani,Telangana,732825,PID-7642,Exam Guide,Books & Stationery,Kade Ltd,895.71,5,4478.55,Credit Card,Shipped,2024-08-14,2024-08-21,
AMZ-21549,CUST-2540,Devansh Modi,27,M,Suryapet,Uttarakhand,712758,PID-5252,Pen,Books & Stationery,Nath-Agate,76.75,1,76.75,Debit Card,Delivered,2023-12-06,2023-12-08,1.0
AMZ-11299,CUST-8406,Yamini Shenoy,53,F,Bhatpara,Bihar,240676,PID-1674,Fan,Home Appliances,Dani-Lalla,7783.49,1,7783.49,Credit Card,Delivered,2023-04-06,2023-04-13,
